1,0.063524,0.042414
2,0.034391,0.036981
3,0.025169,0.027411
4,0.021603,0.020244
5,0.019703,0.019683
6,0.018716,0.015608
7,0.017558,0.015283
8,0.016644,0.013838
9,0.016524,0.014652
10,0.015508,0.012870
11,0.015093,0.012471
12,0.015249,0.012185
13,0.014662,0.012401
14,0.014602,0.013385
15,0.014363,0.014659
16,0.013838,0.011195
17,0.013376,0.011442
18,0.013659,0.012118
19,0.013530,0.011038
20,0.013127,0.010094
1,0.053017,0.025296
2,0.022930,0.016936
3,0.018449,0.013455
4,0.017721,0.012709
5,0.016006,0.012128
6,0.015539,0.011537
7,0.014742,0.010350
8,0.014354,0.010517
9,0.014966,0.010261
10,0.013530,0.012634
11,0.013052,0.008932
12,0.013185,0.008325
13,0.013066,0.009619
14,0.012565,0.010936
15,0.012961,0.009568
16,0.013012,0.008447
17,0.012340,0.009379
18,0.012729,0.009594
19,0.012044,0.007482
20,0.012354,0.007109
1,0.060157,0.045985
2,0.031548,0.027997
3,0.024929,0.023259
4,0.022220,0.024054
5,0.019933,0.019832
6,0.018648,0.016406
7,0.017791,0.015419
8,0.017444,0.014583
9,0.015795,0.013947
10,0.015809,0.013428
11,0.014909,0.012498
12,0.014872,0.012245
13,0.014436,0.011816
14,0.014025,0.011701
15,0.014398,0.011388
16,0.013386,0.012403
17,0.013765,0.012161
18,0.013329,0.011297
19,0.012908,0.010128
20,0.012622,0.011177
